SampleID,YEAR,MONTH,REGION,SUB_REGION_NAME,rugosityMethod,rugosity,Acropora,Agaricia,Cladocora,Colpophyllia,Dendrogyra,Dichocoenia,Diploria,Eusmilia,Favia,Helioseris,Isophyllia,Madracis,Manicina,Meandrina,Montastraea,Mussa,Mycetophyllia,Oculina,Orbicella,Other,Phyllangia,Porites,Pseudodiploria,Scolymia,Siderastrea,Solenastrea,Stephanocoenia,Tubastraea
9530638-2016,2016,6,PRICO,EPRICO,WTD_RUG,0.336666667,0,0,0,0,0,0,0,0,0,0,0,157.07963267949,0,0,385.473418595468,0,0,0,0,0,0,228.99068852016,27.4889357189107,0,498.72783375738,0,0,0
9640838-2016,2016,7,PRICO,EPRICO,WTD_RUG,0.336666667,0,0,0,0,0,0,0,0,0,0,0,54.9778714378214,0,0,1162.74271100175,0,0,0,0,0,0,0,682.511003992382,0,310.703513440031,0,19.6349540849362,0
9922664-2016,2016,6,PRICO,EPRICO,WTD_RUG,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448.66691238659,0,0,0,0,0,0,869.121607615616,829.223380915026,0,2208.53963547362,0,109.955742875643,0
7465415-2016,2016,8,PRICO,EPRICO,WTD_RUG,0.456666667,0,47.1238898038469,0,0,0,0,0,0,0,91.8915851175014,0,127.234502470387,0,0,376.205720267378,0,0,0,7207.55967559021,0,0,380.918109247762,141.371669411541,0,770.632677925576,0,113.097335529233,0
7672013-2016,2016,8,PRICO,EPRICO,WTD_RUG,0.176666667,0,23.5619449019234,0,0,0,0,0,0,0,0,0,0,0,23.5619449019234,0,0,0,0,0,0,0,11.7809724509617,0,0,12.566370614359201,0,0,0
7844081-2016,2016,8,PRICO,EPRICO,WTD_RUG,0.176666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.1681348704628,0,0,0,0,0,0,0,784.76984486673,0,15.707963267949,0,0,0
7905907-2016,2016,6,PRICO,EPRICO,WTD_RUG,0.256666667,0,191.165912970939,0,62.8318530717959,0,0,326.058047534451,0,0,0,0,0,0,0,736.232238368768,0,0,0,125.820785776271,0,0,464.955712731289,202.318566891183,0,571.769862953342,0,0,0
7981655-2016,2016,6,PRICO,EPRICO,WTD_RUG,0.256666667,0,241.902634326414,0,0,0,0,197.920337176157,0,0,0,0,0,0,0,479.721198203161,0,0,0,0,0,0,267.035375555132,73.5132680940011,0,31.4159265358979,0,240.999426438507,0
7988510-2016,2016,6,PRICO,EPRICO,WTD_RUG,0.243333333,0,139.800873084746,0,0,0,0,0,0,0,0,0,0,0,0,43.9822971502571,0,0,0,0,0,0,0,0,0,473.123853630623,0,11.7809724509617,0
7486079-2016,2016,8,PRICO,EPRICO,WTD_RUG,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,61.261056745001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7355867-2016,2016,8,PRICO,EPRICO,WTD_RUG,0.543333333,0,404.008815251647,0,0,0,0,0,0,0,23.5619449019234,16.9646003293849,0,0,177.892684009522,122.99335238804,0,0,0,54.4280927234432,0,0,2206.77248960598,406.836248639878,0,249.20683724601,0,92.5984434645592,0
7555583-2016,2016,8,PRICO,EPRICO,WTD_RUG,0.39,117.809724509617,181.426975744811,0,0,0,260.752190247953,431.968989868597,0,0,0,0,0,0,49.4800842940392,37.6991118430775,0,0,0,318.871654339364,0,0,392.699081698724,0,0,1303.44679197441,0,0,0
8505024-2016,2016,6,PRICO,EPRICO,WTD_RUG,0.27,0,333.794219443915,0,0,0,0,0,0,0,0,0,0,0,0,75.398223686155,0,0,0,295.6238687028,0,0,346.360590058275,0,0,192.893788930413,0,0,0
8848816-2016,2016,6,PRICO,EPRICO,WTD_RUG,0.323333333,0,68.329640215578,0,0,0,14.1371669411541,0,0,0,0,0,0,0,0,282.429179557722,0,0,0,267.192455187812,0,0,516.791991515521,78.5398163397448,0,2156.66408678122,0,277.716790577338,0
7817191-2016,2016,8,PRICO,EPRICO,WTD_RUG,0.176666667,0,0,0,0,0,467.626066486841,0,0,0,0,0,0,0,0,65.0309679293087,0,0,0,0,0,0,0,0,0,1250.35387612874,0,32.9867228626928,0
7879163-2016,2016,8,PRICO,EPRICO,WTD_RUG,0.243333333,0,0,0,0,0,23.090706003885,0,0,0,0,0,0,0,0,0,0,0,0,424.115008234622,0,0,591.326277221939,19.6349540849362,0,206.716796606208,0,0,0
8312366-2016,2016,6,PRICO,EPRICO,WTD_RUG,0.176666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.94023178107,200.276531666349,0,3208.66565674393,0,0,0
7307441-2016,2016,8,PRICO,EPRICO,WTD_RUG,0.163333333,0,0,0,0,0,19.6349540849362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.84510006475,15.707963267949,0,15.707963267949,0,0,0
6318419-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.53,0,222.275534223112,0,0,0,0,0,0,0,0,0,0,0,311.017672705389,263.893782901543,0,0,0,1619.88371200724,0,0,227.451308119901,0,0,28.2743338823081,0,139.015474921348,0
